timestamp,serial,architecture,suite,reproducible,sha256,build_time_seconds
"2025-11-09T13:53:18Z","20251103","arm64","bookworm",true,"069875fe277d6ed7360cbccfc5ea8bdef872d4d2295276ba26deccf5e9f5613f",0
"2025-11-09T13:53:18Z","20251103","arm64","trixie",true,"065e0b299eac33d307132621afc43a0600a64c1cbc217095b3762a3debe15af8",0
"2025-11-09T13:53:18Z","20251103","amd64","bookworm",true,"b06055e3b5ceb5d30ece2923109790b54477afad47e4790739a35e89c5ac30ba",0
"2025-11-09T13:53:18Z","20251103","amd64","trixie",true,"bb98e9f73c1e01fe407a96deee61aa299c62ffc41a71aa431ad7b89558881858",0
"2025-11-09T14:28:54Z","20251103","amd64","forky",true,"87f24eefbe627a0f3ddd730a6aeaab81db7ccba1be27335aade81ff283339719",0
"2025-11-09T14:28:54Z","20251103","amd64","bookworm",true,"b06055e3b5ceb5d30ece2923109790b54477afad47e4790739a35e89c5ac30ba",0
"2025-11-09T14:28:54Z","20251103","amd64","trixie",true,"bb98e9f73c1e01fe407a96deee61aa299c62ffc41a71aa431ad7b89558881858",0
"2025-11-09T14:28:54Z","20251103","amd64","bullseye",true,"f502b5112a337d7061020d435688eec5b0c4f29df54e47367f570acde6b25e4c",0
"2025-11-09T14:28:54Z","20251103","arm64","forky",true,"2acd094769ae5e01fdc3388349ada740b5115b3bf49da25b6a300eaecdfe437b",0
"2025-11-09T14:28:54Z","20251103","arm64","bookworm",true,"069875fe277d6ed7360cbccfc5ea8bdef872d4d2295276ba26deccf5e9f5613f",0
"2025-11-09T14:28:54Z","20251103","arm64","bullseye",true,"d0fb9700ee8a033bab14de1d458ab57f2e003d29b25e872c56b54238ae88fbd1",0
"2025-11-09T14:28:54Z","20251103","arm64","trixie",true,"065e0b299eac33d307132621afc43a0600a64c1cbc217095b3762a3debe15af8",0
"2025-11-09T14:41:35Z","20251103","amd64","trixie",true,"bb98e9f73c1e01fe407a96deee61aa299c62ffc41a71aa431ad7b89558881858",0
"2025-11-09T14:41:35Z","20251103","arm64","trixie",true,"065e0b299eac33d307132621afc43a0600a64c1cbc217095b3762a3debe15af8",0
"2025-11-09T15:01:20Z","20251103","amd64","forky",true,"87f24eefbe627a0f3ddd730a6aeaab81db7ccba1be27335aade81ff283339719",0
"2025-11-09T15:01:20Z","20251103","amd64","bookworm",true,"b06055e3b5ceb5d30ece2923109790b54477afad47e4790739a35e89c5ac30ba",0
"2025-11-09T15:01:20Z","20251103","amd64","trixie",true,"bb98e9f73c1e01fe407a96deee61aa299c62ffc41a71aa431ad7b89558881858",0
"2025-11-09T15:01:20Z","20251103","amd64","bullseye",true,"f502b5112a337d7061020d435688eec5b0c4f29df54e47367f570acde6b25e4c",0
"2025-11-09T15:01:20Z","20251103","arm64","forky",true,"2acd094769ae5e01fdc3388349ada740b5115b3bf49da25b6a300eaecdfe437b",0
"2025-11-09T15:01:20Z","20251103","arm64","bookworm",true,"069875fe277d6ed7360cbccfc5ea8bdef872d4d2295276ba26deccf5e9f5613f",0
"2025-11-09T15:01:20Z","20251103","arm64","bullseye",true,"d0fb9700ee8a033bab14de1d458ab57f2e003d29b25e872c56b54238ae88fbd1",0
"2025-11-09T15:01:20Z","20251103","arm64","trixie",true,"065e0b299eac33d307132621afc43a0600a64c1cbc217095b3762a3debe15af8",0
"2025-11-10T14:35:49Z","20251103","arm64","bookworm",true,"069875fe277d6ed7360cbccfc5ea8bdef872d4d2295276ba26deccf5e9f5613f",0
"2025-11-10T14:35:49Z","20251103","arm64","trixie",true,"065e0b299eac33d307132621afc43a0600a64c1cbc217095b3762a3debe15af8",0
"2025-11-10T14:35:49Z","20251103","amd64","bookworm",true,"b06055e3b5ceb5d30ece2923109790b54477afad47e4790739a35e89c5ac30ba",0
"2025-11-10T14:35:49Z","20251103","amd64","trixie",true,"bb98e9f73c1e01fe407a96deee61aa299c62ffc41a71aa431ad7b89558881858",0
"2025-11-11T22:20:32Z","20251103","amd64","bookworm",true,"b06055e3b5ceb5d30ece2923109790b54477afad47e4790739a35e89c5ac30ba",0
"2025-12-04T01:19:24Z","20251117","arm64","bookworm",true,"af9249629e2f8c0fa776f588f268d8e1c039805fb68f6fbfb202fbc12aadeb48",0
"2025-12-04T01:19:24Z","20251117","arm64","trixie",true,"e905b179371797a9f53bd4f2bd7b71c79b8c3e06cdb2753dcccc9eeeea035a31",0
"2025-12-04T01:19:24Z","20251117","amd64","bookworm",true,"b4e775100bb5246f91a0ba1990ca925195f111dc41c9f59a851ae3fbb027ce67",0
"2025-12-04T01:19:24Z","20251117","amd64","trixie",true,"c6a88783d2b5f3e620557da968b19430e3112d8aaa091000e7fb62ca2fddd921",0
"2025-12-04T01:57:28Z","20251117","i386","bookworm",true,"7ebe3dac952a999b9ea08f7d77b02155dc720db3364163046b0b406b02980e73",0
"2025-12-04T01:57:28Z","20251117","i386","trixie",true,"1149e6ce53c9dd6d371ec14c14eeaaac4371e6d7df54d8a06fc3aedbd6ab31c8",0
"2025-12-04T01:57:28Z","20251117","arm64","bookworm",true,"af9249629e2f8c0fa776f588f268d8e1c039805fb68f6fbfb202fbc12aadeb48",0
"2025-12-04T01:57:28Z","20251117","arm64","trixie",true,"e905b179371797a9f53bd4f2bd7b71c79b8c3e06cdb2753dcccc9eeeea035a31",0
"2025-12-04T01:57:28Z","20251117","amd64","bookworm",true,"b4e775100bb5246f91a0ba1990ca925195f111dc41c9f59a851ae3fbb027ce67",0
"2025-12-04T01:57:28Z","20251117","amd64","trixie",true,"c6a88783d2b5f3e620557da968b19430e3112d8aaa091000e7fb62ca2fddd921",0
"2025-12-04T01:57:28Z","20251117","armhf","bookworm",true,"e72ce4ad036b1d296bada4dafd46cec9f8e1f9244d70546e6a4f9bf9688e6263",0
"2025-12-04T01:57:28Z","20251117","armhf","trixie",true,"733945f5698343eedd44c61fddd1a791f7ee596c061c1efdf6773fc907a078d8",0
